Variable,REGION,TECHNOLOGY,TIMESLICE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
TotalTechnologyAnnualActivity,Greece,Hydro,,6,7,8,9,10,11,10,9,8,7,6
TotalTechnologyAnnualActivity,Greece,Oil,,20,19,18,17,16,15,14,13,12,11,10
TotalTechnologyAnnualActivity,Hungary,Coal,,18,15,17,13,14,15,12,9,10,7,11
TotalTechnologyAnnualActivity,Hungary,Hydro,,1,3,2,4,6,5,7,9,8,10,13
TotalTechnologyAnnualActivity,Hungary,Oil,,15,12,14,7,11,10,5,3,6,9,8
TotalTechnologyAnnualActivity,Ireland,Coal,,4,6,5,7,9,8,13,12,10,15,17
TotalTechnologyAnnualActivity,Ireland,Hydro,,4,14,9,12,5,6,9,10,14,5,4
TotalTechnologyAnnualActivity,Ireland,Oil,,15,16,15,17,18,19,20,13,15,25,12
TotalTechnologyAnnualActivity,Italy,Coal,,1,2,3,4,5,6,7,8,9,10,11
TotalTechnologyAnnualActivity,Italy,Hydro,,8,6,9,7,11,10,15,13,12,16,14
TotalTechnologyAnnualActivity,Italy,Oil,,10,8,9,12,11,17,16,18,20,23,21
TotalTechnologyAnnualActivity,Latvia,Coal,,1,3,5,7,9,11,13,15,17,19,23
TotalTechnologyAnnualActivity,Latvia,Hydro,,2,5,8,11,14,17,20,23,26,29,32
TotalTechnologyAnnualActivity,Latvia,Oil,,6,7,8,9,10,11,10,9,8,7,6
TotalTechnologyAnnualActivity,Lithuania,Coal,,20,19,18,17,16,15,14,13,12,11,10
TotalTechnologyAnnualActivity,Lithuania,Hydro,,18,15,17,13,14,15,12,9,10,7,11
TotalTechnologyAnnualActivity,Lithuania,Oil,,1,3,2,4,6,5,7,9,8,10,13
TotalTechnologyAnnualActivity,Luxembourg,Coal,,15,12,14,7,11,10,5,3,6,9,8
TotalTechnologyAnnualActivity,Luxembourg,Hydro,,4,6,5,7,9,8,13,12,10,15,17
TotalTechnologyAnnualActivity,Luxembourg,Oil,,4,14,9,12,5,6,9,10,14,5,4
TotalTechnologyAnnualActivity,Malta,Coal,,15,16,15,17,18,19,20,13,15,25,12
TotalTechnologyAnnualActivity,Malta,Hydro,,1,2,3,4,5,6,7,8,9,10,11
TotalTechnologyAnnualActivity,Malta,Oil,,8,6,9,7,11,10,15,13,12,16,14
TotalTechnologyAnnualActivity,Netherlands,Coal,,10,8,9,12,11,17,16,18,20,23,21
TotalTechnologyAnnualActivity,Netherlands,Hydro,,1,3,5,7,9,11,13,15,17,19,23
TotalTechnologyAnnualActivity,Netherlands,Oil,,2,5,8,11,14,17,20,23,26,29,32
TotalTechnologyAnnualActivity,Norway,Coal,,15,16,15,17,18,19,20,13,15,25,12
TotalTechnologyAnnualActivity,Norway,Hydro,,4,6,5,7,9,8,13,12,10,15,17
TotalTechnologyAnnualActivity,Norway,Oil,,1,3,2,4,6,5,7,9,8,10,13
TotalTechnologyAnnualActivity,Poland,Coal,,6,7,8,9,10,11,10,9,8,7,6
TotalTechnologyAnnualActivity,Poland,Hydro,,20,19,18,17,16,15,14,13,12,11,10
TotalTechnologyAnnualActivity,Poland,Oil,,18,15,17,13,14,15,12,9,10,7,11
TotalTechnologyAnnualActivity,Portugal,Coal,,1,3,2,4,6,5,7,9,8,10,13
TotalTechnologyAnnualActivity,Portugal,Hydro,,15,12,14,7,11,10,5,3,6,9,8
TotalTechnologyAnnualActivity,Portugal,Oil,,4,6,5,7,9,8,13,12,10,15,17
TotalTechnologyAnnualActivity,Romania,Coal,,4,14,9,12,5,6,9,10,14,5,4
TotalTechnologyAnnualActivity,Romania,Hydro,,15,16,15,17,18,19,20,13,15,25,12
TotalTechnologyAnnualActivity,Romania,Oil,,15,16,15,17,18,19,20,13,15,25,12
TotalTechnologyAnnualActivity,Slovakia,Coal,,8,6,9,7,11,10,15,13,12,16,14
TotalTechnologyAnnualActivity,Slovakia,Hydro,,10,8,9,12,11,17,16,18,20,23,21
TotalTechnologyAnnualActivity,Slovakia,Oil,,1,3,5,7,9,11,13,15,17,19,23
TotalTechnologyAnnualActivity,Slovenia,Coal,,2,5,8,11,14,17,20,23,26,29,32
TotalTechnologyAnnualActivity,Slovenia,Hydro,,6,7,8,9,10,11,10,9,8,7,6
TotalTechnologyAnnualActivity,Slovenia,Oil,,20,19,18,17,16,15,14,13,12,11,10
TotalTechnologyAnnualActivity,Spain,Coal,,18,15,17,13,14,15,12,9,10,7,11
TotalTechnologyAnnualActivity,Spain,Hydro,,1,3,2,4,6,5,7,9,8,10,13
TotalTechnologyAnnualActivity,Spain,Oil,,15,12,14,7,11,10,5,3,6,9,8
TotalTechnologyAnnualActivity,Sweden,Coal,,4,6,5,7,9,8,13,12,10,15,17
TotalTechnologyAnnualActivity,Sweden,Hydro,,4,14,9,12,5,6,9,10,14,5,4
TotalTechnologyAnnualActivity,Sweden,Oil,,1,2,3,4,5,6,7,8,9,10,11
TotalTechnologyAnnualActivity,Switzerland,Coal,,4,6,5,7,9,8,13,12,10,15,17
TotalTechnologyAnnualActivity,Switzerland,Hydro,,1,3,5,7,9,11,13,15,17,19,23
TotalTechnologyAnnualActivity,Switzerland,Oil,,8,6,9,7,11,10,15,13,12,16,14
TotalTechnologyAnnualActivity,United Kingdom,Coal,,8,6,9,7,11,10,15,13,12,16,14
TotalTechnologyAnnualActivity,United Kingdom,Hydro,,1,3,5,7,9,11,13,15,17,19,23
TotalTechnologyAnnualActivity,United Kingdom,Oil,,2,5,8,11,14,17,20,23,26,29,32
